series_id,name,english_name,image_link,creator,genres,synopsis,favorites,members,score,media_type
11,Monogatari Series,Bakemonogatari,https://cdn.myanimelist.net/images/anime/11/75274l.jpg,"{""studio"": ""Shaft""}",Comedy|Ecchi|Mystery|Romance|Supernatural|Vampire,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa._x000D_
_x000D_
When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament._x000D_
_x000D_
Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies._x000D_
_x000D_
[Written by MAL Rewrite]",50492,1461046,8.32,anime
12,Bocchi the Rock!,Bocchi the Rock!,https://cdn.myanimelist.net/images/anime/1448/127956l.jpg,"{""studio"": ""CloverWorks""}",CGDCT|Comedy|Music,"Yearning to make friends and perform live with a band, lonely and socially anxious Hitori ""Bocchi"" Gotou devotes her time to playing the guitar. On a fateful day, Bocchi meets the outgoing drummer Nijika Ijichi, who invites her to join Kessoku Band when their guitarist, Ikuyo Kita, flees before their first show. Soon after, Bocchi meets her final bandmate���the cool bassist Ryou Yamada. _x000D_
_x000D_
Although their first performance together is subpar, the girls feel empowered by their shared love for music, and they are soon rejoined by Kita. Finding happiness in performing, Bocchi and her bandmates put their hearts into improving as musicians while making the most of their fleeting high school days._x000D_
_x000D_
[Written by MAL Rewrite]",34163,721513,8.75,anime
13,Bokutachi wa Benkyou ga Dekinai,We Never Learn: BOKUBEN,https://cdn.myanimelist.net/images/anime/1602/100510l.jpg,"{""studio"": ""Silver|Arvo Animation""}",Comedy|Harem|Romance|School,"Nariyuki Yuiga, an impoverished third-year high school student, works tirelessly to receive the VIP nomination, a scholarship that would cover all of his college tuition fees. In recognition of his hard work, the headmaster awards him the renowned scholarship._x000D_
_x000D_
However, this scholarship is given under one condition: he must tutor the school's geniuses in their weakest subjects! Joining his new brigade of pupils are the math maestro Rizu Ogata, who wants to study humanities; the literature legend Fumino Furuhashi, who wants to study science; and Yuiga's sports-savvy childhood friend, Uruka Takemoto, who is hopeless at everything else._x000D_
_x000D_
Bokutachi wa Benkyou ga Dekinai follows Yuiga as he tries to teach his three eccentric tutees in a series of strange and comedic antics. But as Ogata's and Furuhashi's ambitions conflict with their talents, will Yuiga be able to help his students achieve their dreams?_x000D_
_x000D_
[Written by MAL Rewrite]",1670,467864,7.26,anime
14,Cardcaptor Sakura,Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/8/60781l.jpg,"{""studio"": ""Madhouse""}",Adventure|Comedy|Drama|Mahou Shoujo|Romance|School,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town._x000D_
_x000D_
The accident awakens the Beast of the Seal���Keroberos, nicknamed ""Kero""���who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them._x000D_
_x000D_
Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura._x000D_
_x000D_
[Written by MAL Rewrite]",14375,474025,8.18,anime
15,Charlotte,Charlotte,https://cdn.myanimelist.net/images/anime/1826/147276l.jpg,"{""studio"": ""P.A. Works""}",Drama|School|Super Power,"If not for his ability to take over people's mind and body, Yuu Otosaka would be an ordinary high school student. Though it only lasts for five seconds at a time, Yuu's mysterious power allowed him to cheat his way to the top of his class and  enter a prestigious high school, where he continues his dishonest acts._x000D_
_x000D_
His shenanigans are eventually stopped by Nao Tomori���the headstrong student council president from Hoshinoumi Academy���who sees through his deceit. Through coercion, Nao convinces Yuu to transfer to Hoshinoumi and join the student council. Hoshinoumi Academy is secretly an institution created for adolescents who possess supernatural abilities���with the student council serving as a means of locating those who abuse their powers._x000D_
_x000D_
With Yuu begrudgingly assisting in council affairs, the group sets out to find and protect new ability users from harm. However, as they further investigate the abilities, their findings entangle them in far more complicated matters than they could ever imagine._x000D_
_x000D_
[Written by MAL Rewrite]",24531,1714353,7.75,anime
16,Choujigen Game Neptune The Animation,Hyperdimension Neptunia,https://cdn.myanimelist.net/images/anime/6/52141l.jpg,"{""studio"": ""David Production""}",Action|Comedy|Fantasy|Parody|Sci-Fi,"After years of fruitless war between the four realms of Gamindustri (Planeptune, Lastation, Lowee and Leanbox) over Share energy, the source of their strength based on how much their people have faith in their goddesses, the four CPUs that rule over them have finally signed a friendship treaty. The treaty bans any attempt at claiming Share energy through military force, in hopes of bringing peace and prosperity to their worlds. Yet, a month after the treaty, Neptune, the CPU Goddess of Planeptune, spends her time goofing off and playing games rather than doing her job, leaving her land's Shares plummeting._x000D_
_x000D_
Choujigen Game Neptune The Animation follows Neptune and her friends' attempts at raising Shares, while dealing with an external threat that could spell the end of both the Goddesses and Gamindustri itself...",1201,157273,6.89,anime
17,Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions!",https://cdn.myanimelist.net/images/anime/1905/142840l.jpg,"{""studio"": ""Kyoto Animation""}",Comedy|Drama|Romance|School,"Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding mystical powers, or maybe even believe themselves to have descended from a fantasy realm. This ""disease"" is known as ""chuunibyou"" and is often the source of some of the most embarrassing moments of a person's life._x000D_
_x000D_
For Yuuta Togashi, the scars that his chuunibyou has left behind are still fresh. Having posed as the ""Dark Flame Master"" during his middle school years, he looks back at those times with extreme embarrassment, so much so that he decides to attend a high school far away where nobody will recognize him. Putting his dark history behind him, he longs to live a normal high school life._x000D_
_x000D_
Unfortunately, he hasn't escaped his past yet: enter Rikka Takanashi, Yuuta's new classmate and self-declared vessel of the ""Wicked Eye."" As this eccentric young girl crashes into Yuuta's life, his dream of an ordinary, chuunibyou-free life quickly crumbles away. In this hilarious and heartwarming story of a boy who just wants to leave his embarrassing memories behind, the delusions of old are far from a thing of the past._x000D_
_x000D_
[Written by MAL Rewrite]",18601,1427630,7.7,anime
18,City The Animation,nan,https://cdn.myanimelist.net/images/anime/1981/149640l.jpg,"{""studio"": ""Kyoto Animation""}",Comedy|Gag Humor,"This town, is not just a normal town. There's laughter, love and emotional moments. An unpredictable ordinary life presented by the residents! Exciting stuffs come one after another. Welcome to CITY._x000D_
_x000D_
(Source: Prime Video)",223,56271,7.9,anime
19,Clannad,Clannad,https://cdn.myanimelist.net/images/anime/1804/95033l.jpg,"{""studio"": ""Kyoto Animation""}",Drama|Romance|School,"Tomoya Okazaki is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Youhei Sunohara, he skips school and plans to waste his high school days away._x000D_
_x000D_
One day while walking to school, Tomoya passes a young girl muttering quietly to herself. Without warning she exclaims ""Anpan!"" (a popular Japanese food) which catches Tomoya's attention. He soon discovers the girl's name is Nagisa Furukawa and that she exclaims things she likes in order to motivate herself. Nagisa claims they are now friends, but Tomoya walks away passing the encounter off as nothing._x000D_
_x000D_
However, Tomoya finds he is noticing Nagisa more and more around school. Eventually he concedes and befriends her. Tomoya learns Nagisa has been held back a year due to a severe illness and that her dream is to revive the school's drama club. Claiming he has nothing better to do, he decides to help her achieve this goal along with the help of four other girls._x000D_
_x000D_
As Tomoya spends more time with the girls, he learns more about them and their problems. As he attempts to help each girl overcome her respective obstacle, he begins to realize life isn't as dull as he once thought._x000D_
_x000D_
[Written by MAL Rewrite]",28248,1476698,7.99,anime
20,Comic Girls,nan,https://cdn.myanimelist.net/images/anime/1444/140760l.jpg,"{""studio"": ""Nexus""}",CGDCT|Otaku Culture|Slice of Life,"Kaoruko ""Chaos"" Moeta is a young manga artist who is down on her luck. She wants to draw manga about high school girls, but her storyboards are bland, her art uninspired, and her premises weak. Her concerned, exasperated editor comes up with an idea: push Chaos to be more social. So, by her recommendation, Chaos moves into a dormitory for female manga artists. She soon meets the other residents: Tsubasa Katsuki, a shounen manga artist; Ruki Irokawa, who draws erotic manga popular with women; and Koyume Koizuka, a shoujo artist who, like Chaos, has yet to be serialized. Quickly striking up a friendship with these girls, Chaos finds new inspiration for her manga and continues to grow her creativity._x000D_
_x000D_
Comic Girls is a showcase of the daily lives of these manga artists. Will Chaos finally be able to make her debut and become serialized? None of the girls know, but they will all do their best to help each other become the best artists they can be._x000D_
_x000D_
[Written by MAL Rewrite]",723,149379,7.36,anime
